CODICE;DITTA;PESO[g];SUPERFICE [mm^2];PREPARAZIONE ALLA VERNICIATURA [min];TEMPO IMBALLAGGIO [min];% RICHIAMI;PREZZO
1;Ferrari;100;100;60;60;10;17
2;Ferrari;100;300;60;70;10;27,6
3;Ferrari;100;600;60;80;10;38,2
4;Ferrari;150;100;60;60;10;22,2
5;Ferrari;150;300;60;70;10;28,6
6;Ferrari;150;600;60;80;10;30,2
7;Ferrari;200;100;60;60;10;27,2
8;Ferrari;200;300;60;70;10;35,6
9;Ferrari;200;600;60;80;10;45
10;Ferrari;500;100;60;60;10;65,2
11;Ferrari;500;300;60;70;10;72,6
12;Ferrari;500;600;60;80;10;82,2
13;Ferrari;1000;100;60;60;10;123
14;Maserati;1000;300;60;70;10;137,6
15;Maserati;1000;600;60;80;10;142
16;Google;1500;1000;60;60;10;220
17;Solver;100;100;60;60;10;17
18;Solver;100;300;60;70;10;27,6
19;Solver;100;600;60;80;10;38,2
20;Solver;150;100;60;60;10;22,2
21;Solver;150;300;60;70;10;28,6
22;Solver;150;600;60;80;10;30,2
23;TS;200;100;60;60;10;27,2
24;TS;200;300;60;70;10;35,6
25;TS;200;600;60;80;10;45
26;TS;500;100;60;60;10;65,2
27;TS;500;300;60;70;10;72,6
28;Arca;500;600;60;80;10;82,2
29;Arca;1000;100;60;60;10;123
30;Camping;1000;300;60;70;10;137,6
31;Solver;1000;600;60;80;10;142
32;Camping;1500;1000;60;60;10;220
33;Camping;1500;1000;60;60;10;220
34;Camping;1500;1000;60;60;10;220
35;Camping;1500;1000;60;60;10;220
36;Camping;1500;1000;60;60;10;220
37;Camping;1500;1000;60;60;10;220
38;Camping;1500;1000;60;60;10;220
39;Camping;1500;1000;60;60;10;220
40;Camping;1500;1000;60;60;10;220
41;Camping;1500;1000;60;60;10;220
42;Camping;1500;1000;60;60;10;220
43;Camping;1500;1000;60;60;10;220
44;Camping;1500;1000;60;60;10;220
45;Camping;1500;1000;60;60;10;220
46;Camping;1500;1000;60;60;10;220
47;Camping;1500;1000;60;60;10;220
48;Camping;1500;1000;60;60;10;220
49;Camping;1500;1000;60;60;10;220
50;Camping;1500;1000;60;60;10;220
51;Camping;1500;1000;60;60;10;220
52;Camping;1500;1000;60;60;10;220
53;Camping;1500;1000;60;60;10;220
54;ASD;1500;1000;60;60;10;220
55;ASD;1500;1000;60;60;10;220
56;ASD;1500;1000;60;60;10;220
57;ASD;1500;1000;60;60;10;220
58;ASD;1500;1000;60;60;10;220
59;ASD;1500;1000;60;60;10;220
60;ASD;1500;1000;60;60;10;220
61;ASD;1500;1000;60;60;10;220
62;ASD;1500;1000;60;60;10;220
63;TO;1500;1000;60;60;10;220
64;TO;1500;1000;60;60;10;220
65;TO;1500;1000;60;60;10;220
66;TO;1500;1000;60;60;10;220
67;TO;1500;1000;60;60;10;220
68;TO;1500;1000;60;60;10;220
69;TO;1500;1000;60;60;10;220
70;TO;1500;1000;60;60;10;220
71;TO;1500;1000;60;60;10;220
72;lambo;1500;1000;60;60;10;220
73;lambo;1500;1000;60;60;10;220
74;lambo;1500;1000;60;60;10;220
75;lambo;1500;1000;60;60;10;220
76;lambo;1500;1000;60;60;10;220
77;lambo;1500;1000;60;60;10;220
78;lambo;1500;1000;60;60;10;220
79;lambo;1500;1000;60;60;10;220
80;lambo;1500;1000;60;60;10;220
81;FCI;1500;1000;60;60;10;220
82;FCI;1500;1000;60;60;10;220
83;FCI;1500;1000;60;60;10;220
84;FCI;1500;1000;60;60;10;220
85;FCI;1500;1000;60;60;10;220
86;FCI;1500;1000;60;60;10;220
87;FCI;1500;1000;60;60;10;220
88;FCI;1500;1000;60;60;10;220
89;FCI;1500;1000;60;60;10;220
90;FCI;1500;1000;60;60;10;220
91;FCI;1500;1000;60;60;10;220
92;FCI2;1500;1000;60;60;10;220
93;FCI2;1500;1000;60;60;10;220
94;FCI2;1500;1000;60;60;10;220
95;FCI2;1500;1000;60;60;10;220
96;FCI2;1500;1000;60;60;10;220
97;FCI2;1500;1000;60;60;10;220
98;FCI2;1500;1000;60;60;10;220
99;FCI3;1500;1000;60;60;10;220
100;FCI3;1500;1000;60;60;10;220
101;FCI3;1500;1000;60;60;10;220
102;FCI3;1500;1000;60;60;10;220
103;FCI3;1500;1000;60;60;10;220
104;FCI3;1500;1000;60;60;10;220
105;FCI3;1500;1000;60;60;10;220
